"p_val" "avg_logFC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene" "celltype"
"1" 0 1.86553110080148 1 0.802 0 0 "Apoe" "M2"
"2" 0 1.54134623728237 0.997 0.777 0 0 "Sepp1" "M2"
"3" 0 1.41854345705138 0.996 0.464 0 0 "Ms4a7" "M2"
"4" 0 1.36129401547437 0.99 0.516 0 0 "C1qb" "M2"
"5" 0 1.35594703940028 0.968 0.459 0 0 "C1qa" "M2"
"6" 0 1.30157668331315 0.982 0.458 0 0 "C1qc" "M2"
"7" 0 1.298260216166 1 0.66 0 0 "Ctss" "M2"
"8" 0 1.27663952653991 1 0.714 0 0 "Lyz2" "M2"
"9" 0 1.22141680735384 0.95 0.406 0 0 "Pltp" "M2"
"10" 0 1.12994064125156 1 0.946 0 0 "Ctsb" "M2"
"11" 0 1.09577970090888 0.965 0.425 0 0 "Trem2" "M2"
"12" 0 1.0648197557622 0.978 0.472 0 0 "Aif1" "M2"
"13" 0 1.05132607904183 0.957 0.454 0 0 "Ms4a6b" "M2"
"14" 0 1.04664209555142 0.939 0.541 0 0 "Wfdc17" "M2"
"15" 0 0.995265958782462 1 0.947 0 0 "Psap" "M2"
"16" 0 0.94873819868764 1 0.98 0 0 "Itm2b" "M2"
"17" 0 0.937886582083065 0.974 0.488 0 0 "Csf1r" "M2"
"18" 0 0.928683050355414 0.457 0.135 0 0 "Gdf15" "M2"
"19" 0 0.92636009966763 0.76 0.319 0 0 "Gpnmb" "M2"
"20" 5.64872485864731e-302 0.959986220453022 0.29 0.113 1.05292231365186e-297 0 "Ccl8" "M2"
"21" 0 1.84692976603539 1 0.793 0 1 "Gsn" "Osr1_FAPs"
"22" 0 1.74494660903229 1 0.484 0 1 "Dcn" "Osr1_FAPs"
"23" 0 1.71805346755392 0.974 0.379 0 1 "Mgp" "Osr1_FAPs"
"24" 0 1.65940858062447 1 0.578 0 1 "Col3a1" "Osr1_FAPs"
"25" 0 1.61121567664863 0.957 0.558 0 1 "Egr1" "Osr1_FAPs"
"26" 0 1.58852223743408 0.967 0.279 0 1 "Smoc2" "Osr1_FAPs"
"27" 0 1.53557555853357 0.978 0.31 0 1 "Col4a1" "Osr1_FAPs"
"28" 0 1.52202352417949 0.911 0.151 0 1 "Col15a1" "Osr1_FAPs"
"29" 0 1.50953351304926 0.989 0.334 0 1 "Lum" "Osr1_FAPs"
"30" 0 1.47442455871234 0.819 0.202 0 1 "Cxcl14" "Osr1_FAPs"
"31" 0 1.45446810026349 0.906 0.219 0 1 "Apod" "Osr1_FAPs"
"32" 0 1.43364576604361 0.936 0.221 0 1 "Itih5" "Osr1_FAPs"
"33" 0 1.41507783473473 0.99 0.325 0 1 "Serping1" "Osr1_FAPs"
"34" 0 1.40480842080698 0.913 0.176 0 1 "Sparcl1" "Osr1_FAPs"
"35" 0 1.39604809069494 0.939 0.154 0 1 "Abca8a" "Osr1_FAPs"
"36" 0 1.39470732110469 0.974 0.338 0 1 "Nid1" "Osr1_FAPs"
"37" 0 1.35972944135559 0.968 0.509 0 1 "Lpl" "Osr1_FAPs"
"38" 0 1.35901555913403 0.937 0.225 0 1 "Col4a2" "Osr1_FAPs"
"39" 0 1.35624267016545 1 0.576 0 1 "Sparc" "Osr1_FAPs"
"40" 0 1.34700308533383 0.972 0.217 0 1 "Clec3b" "Osr1_FAPs"
"41" 0 1.83303644656299 0.998 0.565 0 2 "Cd74" "Mrc1_macro"
"42" 0 1.80684144937912 0.995 0.444 0 2 "H2-Aa" "Mrc1_macro"
"43" 0 1.76304059044076 0.994 0.418 0 2 "H2-Eb1" "Mrc1_macro"
"44" 0 1.73064344666646 0.995 0.452 0 2 "H2-Ab1" "Mrc1_macro"
"45" 0 1.48939755696915 0.96 0.474 0 2 "C1qa" "Mrc1_macro"
"46" 0 1.42257516953896 0.972 0.81 0 2 "Apoe" "Mrc1_macro"
"47" 0 1.38647758886476 0.961 0.474 0 2 "C1qc" "Mrc1_macro"
"48" 0 1.35253155761844 0.977 0.53 0 2 "C1qb" "Mrc1_macro"
"49" 0 1.27630187445358 0.952 0.421 0 2 "Tmem176b" "Mrc1_macro"
"50" 0 1.15256521636555 0.937 0.421 0 2 "Pltp" "Mrc1_macro"
"51" 0 1.13006947565978 0.9 0.324 0 2 "Tmem176a" "Mrc1_macro"
"52" 0 1.10777219486167 0.973 0.784 0 2 "Sepp1" "Mrc1_macro"
"53" 0 1.07255007927296 0.925 0.484 0 2 "Ms4a7" "Mrc1_macro"
"54" 0 1.0498875259293 0.896 0.263 0 2 "H2-DMb1" "Mrc1_macro"
"55" 0 1.04950712245001 1 0.722 0 2 "Lyz2" "Mrc1_macro"
"56" 0 1.03894249614504 0.934 0.341 0 2 "H2-DMa" "Mrc1_macro"
"57" 0 1.01236449097017 0.943 0.407 0 2 "Ly86" "Mrc1_macro"
"58" 0 1.00851580974798 0.392 0.148 0 2 "Gdf15" "Mrc1_macro"
"59" 0 0.99599001305591 0.884 0.656 0 2 "Mafb" "Mrc1_macro"
"60" 0 0.974359342042497 0.982 0.583 0 2 "Unc93b1" "Mrc1_macro"
"61" 0 4.74382347215055 0.949 0.052 0 3 "S100a8" "Neutrophils"
"62" 0 4.69260736788606 0.922 0.032 0 3 "S100a9" "Neutrophils"
"63" 0 3.05089742499858 0.932 0.063 0 3 "Irg1" "Neutrophils"
