"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"celltype"	"clusternames"
"1"	0	2.36354115243253	0.957	0.575	0	"0"	"Cxcl14"	NA	"FAPS, Smoc2+"
"2"	0	2.04829009810931	0.997	0.656	0	"0"	"Smoc2"	NA	"FAPS, Smoc2+"
"3"	0	1.80765458648045	0.983	0.632	0	"0"	"Hsd11b1"	NA	"FAPS, Smoc2+"
"4"	0	1.68756362178407	0.993	0.668	0	"0"	"Lum"	NA	"FAPS, Smoc2+"
"5"	0	1.63325177364664	0.956	0.59	0	"0"	"Crispld2"	NA	"FAPS, Smoc2+"
"6"	0	1.61905775451208	0.99	0.668	0	"0"	"Ccl11"	NA	"FAPS, Smoc2+"
"7"	0	1.58057145079375	0.982	0.603	0	"0"	"Col15a1"	NA	"FAPS, Smoc2+"
"8"	0	1.57200523239276	0.997	0.738	0	"0"	"Col4a1"	NA	"FAPS, Smoc2+"
"9"	0	1.5658613072966	0.995	0.736	0	"0"	"Col6a3"	NA	"FAPS, Smoc2+"
"10"	0	1.43466719296901	0.993	0.726	0	"0"	"Col5a3"	NA	"FAPS, Smoc2+"
"11"	0	2.65570122833265	0.933	0.45	0	"1"	"Pi16"	NA	"FAPs activated"
"12"	0	2.21435835113625	0.985	0.649	0	"1"	"Ugdh"	NA	"FAPs activated"
"13"	0	2.11138160239887	0.998	0.599	0	"1"	"Fn1"	NA	"FAPs activated"
"14"	0	2.10239207412933	0.836	0.535	0	"1"	"Has1"	NA	"FAPs activated"
"15"	0	2.02724064045319	0.879	0.607	0	"1"	"Igfbp5"	NA	"FAPs activated"
"16"	0	1.94230582015399	0.998	0.77	0	"1"	"Fbn1"	NA	"FAPs activated"
"17"	0	1.9302639489024	0.974	0.615	0	"1"	"Cd55"	NA	"FAPs activated"
"18"	0	1.91982502600349	0.979	0.487	0	"1"	"Efemp1"	NA	"FAPs activated"
"19"	0	1.80950922528691	0.986	0.576	0	"1"	"Pcolce2"	NA	"FAPs activated"
"20"	0	1.76256520796613	0.952	0.502	0	"1"	"Sema3c"	NA	"FAPs activated"
"21"	0	2.24923216267798	0.989	0.264	0	"2"	"Fabp4"	NA	"Endothelial cells"
"22"	0	1.96182948167024	0.969	0.145	0	"2"	"Egfl7"	NA	"Endothelial cells"
"23"	0	1.85625028611284	0.991	0.133	0	"2"	"Ccl21a"	NA	"Endothelial cells"
"24"	0	1.70170226428105	0.975	0.115	0	"2"	"Gpihbp1"	NA	"Endothelial cells"
"25"	0	1.65790088272092	0.947	0.176	0	"2"	"Aqp1"	NA	"Endothelial cells"
"26"	0	1.64098528617427	0.834	0.14	0	"2"	"Pecam1"	NA	"Endothelial cells"
"27"	0	1.59432463476739	0.918	0.186	0	"2"	"Ecscr"	NA	"Endothelial cells"
"28"	0	1.57337009092947	0.855	0.11	0	"2"	"Ctla2a"	NA	"Endothelial cells"
"29"	0	1.55592898280021	0.893	0.127	0	"2"	"Cdh5"	NA	"Endothelial cells"
"30"	0	1.54351300649867	0.981	0.331	0	"2"	"Sdpr"	NA	"Endothelial cells"
"31"	0	3.72691501820414	0.996	0.232	0	"3"	"Mb"	NA	"unknown"
"32"	0	2.9220361194512	0.858	0.414	0	"3"	"Myh1"	NA	"unknown"
"33"	0	2.581930876077	1	0.467	0	"3"	"Tpm2"	NA	"unknown"
"34"	0	2.50112623822064	1	0.389	0	"3"	"Cox6a2"	NA	"unknown"
"35"	0	2.48392095253899	0.983	0.389	0	"3"	"Fabp3"	NA	"unknown"
"36"	0	2.41635192585992	1	0.33	0	"3"	"Cox8b"	NA	"unknown"
"37"	0	2.40853299247492	0.97	0.214	0	"3"	"Ckmt2"	NA	"unknown"
"38"	0	2.38968882051077	1	0.406	0	"3"	"Tcap"	NA	"unknown"
"39"	0	2.38615705448957	0.999	0.796	0	"3"	"Atp5g1"	NA	"unknown"
"40"	0	2.36836291195864	1	0.303	0	"3"	"Chchd10"	NA	"unknown"
"41"	7.26343377728823e-256	2.10760016939351	0.953	0.296	2.54220182205088e-252	"4"	"Clu"	NA	"Endothelial_lymphatic"
"42"	1.02328877570714e-221	1.28921044771336	0.461	0.06	3.58151071497499e-218	"4"	"Cytl1"	NA	"Endothelial_lymphatic"
"43"	9.5737118942783e-164	1.29713720476216	0.989	0.736	3.3507991629974e-160	"4"	"Atf3"	NA	"Endothelial_lymphatic"
"44"	2.14720004000883e-129	1.50940525277785	0.873	0.458	7.51520014003091e-126	"4"	"Tm4sf1"	NA	"Endothelial_lymphatic"
"45"	1.24103629002404e-114	1.27037195673601	0.761	0.136	4.34362701508415e-111	"4"	"Cldn5"	NA	"Endothelial_lymphatic"
"46"	1.55758631201719e-113	1.32599977556174	0.744	0.128	5.45155209206015e-110	"4"	"Ptprb"	NA	"Endothelial_lymphatic"
"47"	2.27630086570415e-96	1.15765924530398	0.67	0.169	7.96705302996452e-93	"4"	"Sema3g"	NA	"Endothelial_lymphatic"
"48"	3.93100561407257e-81	1.15975902857229	0.993	0.793	1.3758519649254e-77	"4"	"Hspa1a"	NA	"Endothelial_lymphatic"
"49"	2.39474933077404e-52	1.16185586601857	0.664	0.195	8.38162265770913e-49	"4"	"Iigp1"	NA	"Endothelial_lymphatic"
"50"	7.05753871574356e-39	1.35211355904472	0.779	0.4	2.47013855051024e-35	"4"	"Plvap"	NA	"Endothelial_lymphatic"
"51"	0	1.57425323985251	0.908	0.479	0	"5"	"Cfh"	NA	"FAPs, Smoc2+"
"52"	2.63940574801972e-295	1.23535965522387	1	0.917	9.23792011806901e-292	"5"	"Cst3"	NA	"FAPs, Smoc2+"
"53"	9.0463142332487e-292	1.85221590243133	0.961	0.612	3.16620998163704e-288	"5"	"Mgp"	NA	"FAPs, Smoc2+"
"54"	2.81007956819864e-272	1.6658957504155	0.868	0.47	9.83527848869525e-269	"5"	"Prg4"	NA	"FAPs, Smoc2+"
"55"	4.88744149271988e-254	1.2621832805541	0.975	0.714	1.71060452245196e-250	"5"	"Gas1"	NA	"FAPs, Smoc2+"
"56"	1.33507026105616e-209	1.48976032533291	0.911	0.683	4.67274591369657e-206	"5"	"Myoc"	NA	"FAPs, Smoc2+"
"57"	3.42229695178169e-199	1.20036134900707	0.725	0.383	1.19780393312359e-195	"5"	"Gdf10"	NA	"FAPs, Smoc2+"
"58"	1.48863875988296e-154	1.2750113032286	0.713	0.31	5.21023565959035e-151	"5"	"Fbln1"	NA	"FAPs, Smoc2+"
"59"	2.84161224754692e-129	1.30033254032231	0.778	0.548	9.94564286641422e-126	"5"	"Fst"	NA	"FAPs, Smoc2+"
"60"	9.77707882354998e-82	1.22915805509278	0.72	0.517	3.42197758824249e-78	"5"	"Inmt"	NA	"FAPs, Smoc2+"
"61"	0	2.93342078866064	0.999	0.483	0	"6"	"Myh4"	NA	"Myonuclei"
"62"	0	2.78078649903348	1	0.863	0	"6"	"Tpm1"	NA	"Myonuclei"
"63"	0	2.73614552605569	0.999	0.427	0	"6"	"Pvalb"	NA	"Myonuclei"
"64"	0	2.65425446947272	0.999	0.668	0	"6"	"Myl1"	NA	"Myonuclei"
"65"	0	2.55426322422876	1	0.664	0	"6"	"Ckm"	NA	"Myonuclei"
"66"	0	2.54303292617276	1	0.793	0	"6"	"Mylpf"	NA	"Myonuclei"
"67"	0	2.5421092343252	0.999	0.31	0	"6"	"Actn3"	NA	"Myonuclei"
"68"	0	2.5272968813787	1	0.763	0	"6"	"Tnnc2"	NA	"Myonuclei"
"69"	0	2.50447030548046	0.993	0.298	0	"6"	"Car3"	NA	"Myonuclei"
"70"	0	2.41476352133085	1	0.752	0	"6"	"Tnnt3"	NA	"Myonuclei"
"71"	0	2.7082806465664	0.986	0.186	0	"7"	"Ctss"	NA	"B_lymphocytes.CD4"
"72"	3.04965532036209e-214	2.60061491746104	0.986	0.326	1.06737936212673e-210	"7"	"Fcer1g"	NA	"B_lymphocytes.CD4"
"73"	5.28746878628152e-203	4.25653374818705	0.983	0.257	1.85061407519853e-199	"7"	"Lyz2"	NA	"B_lymphocytes.CD4"
"74"	7.04407211307108e-176	5.03840443789046	0.935	0.375	2.46542523957488e-172	"7"	"Cd74"	NA	"B_lymphocytes.CD4"
"75"	7.31949586464991e-152	4.10969417765544	0.836	0.175	2.56182355262747e-148	"7"	"H2-Ab1"	NA	"B_lymphocytes.CD4"
"76"	1.47740798995452e-149	4.08758679463373	0.836	0.206	5.17092796484082e-146	"7"	"H2-Aa"	NA	"B_lymphocytes.CD4"
"77"	2.23065049758286e-131	4.11018833606864	0.801	0.277	7.80727674154002e-128	"7"	"H2-Eb1"	NA	"B_lymphocytes.CD4"
"78"	9.69211045607342e-46	4.15928516699377	0.425	0.088	3.3922386596257e-42	"7"	"Retnla"	NA	"B_lymphocytes.CD4"
"79"	7.70725663109334e-38	2.65296748553616	0.411	0.071	2.69753982088267e-34	"7"	"C1qa"	NA	"B_lymphocytes.CD4"
