"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
0	0.818676005895774	1	0.952	0	"0"	"Gsn"
0	0.817168966544988	0.97	0.692	0	"0"	"Sparcl1"
0	0.767884606138891	0.477	0.185	0	"0"	"Cfh"
0	0.752930508846414	0.986	0.806	0	"0"	"Lpl"
0	2.42102220945157	0.869	0.146	0	"1"	"Dlk1"
0	1.66402159220586	0.618	0.158	0	"1"	"Igf2"
0	1.30268049693287	0.957	0.635	0	"1"	"Cdkn1c"
0	1.22329782424242	0.997	0.886	0	"1"	"Itm2a"
0	1.55495622297308	0.993	0.622	0	"2"	"Postn"
0	1.54507436048815	0.982	0.641	0	"2"	"Csrp2"
0	1.53004159711996	0.616	0.118	0	"2"	"Acta2"
0	1.52724031919866	0.794	0.26	0	"2"	"Sfrp2"
0	1.76366413559155	0.964	0.356	0	"3"	"Hsd11b1"
0	1.53099088011513	0.927	0.679	0	"3"	"Cxcl14"
0	1.49335205010356	0.997	0.658	0	"3"	"Ccl11"
0	1.43108149570457	0.997	0.866	0	"3"	"Smoc2"
0	2.56701281129885	0.953	0.354	0	"4"	"Pi16"
0	2.03122192908573	0.898	0.508	0	"4"	"Igfbp5"
0	1.87563205512636	0.97	0.384	0	"4"	"Cd55"
0	1.79007037283234	0.945	0.37	0	"4"	"Efemp1"
0	3.51134905645676	0.909	0.066	0	"5"	"Fmod"
0	3.04671916975361	0.953	0.096	0	"5"	"Tnmd"
0	2.67937322082097	0.982	0.441	0	"5"	"Thbs4"
0	2.11328267443183	0.587	0.009	0	"5"	"Kera"
0	1.69732450107606	0.987	0.605	0	"6"	"Timp1"
0	1.59838960023071	0.525	0.028	0	"6"	"Top2a"
1.77030588044402e-253	1.58768499916178	0.892	0.506	3.08174847667696e-249	"6"	"S100a4"
2.41091438299977e-243	1.62539288129766	0.837	0.402	4.196919757926e-239	"6"	"Ccl2"
0	4.61800495121332	0.975	0.084	0	"7"	"Cxcl5"
1.71718599909891e-220	2.81665209940776	0.982	0.411	2.98927738723139e-216	"7"	"Ccl2"
1.37519167247707e-104	3.12949442494984	0.758	0.385	2.39393366344809e-100	"7"	"Prg4"
7.46984084574826e-77	3.06350643085909	0.442	0.128	1.30034989442786e-72	"7"	"Mmp3"
8.49971036513834e-209	3.27338135070205	0.87	0.206	1.47962958036328e-204	"8"	"Cd74"
5.13240372773811e-208	2.55642188516562	0.753	0.14	8.9344884092465e-204	"8"	"H2-Aa"
1.22917842721323e-193	3.06997199364128	0.939	0.295	2.1397538060928e-189	"8"	"Lyz2"
3.56140300714197e-75	2.5280796111053	0.935	0.697	6.19969035483273e-71	"8"	"Apoe"
2.00038432807212e-103	3.49647313312571	1	0.308	3.48226903830795e-99	"9"	"Tnnc2"
2.88534652735008e-103	3.30088885133921	1	0.308	5.02281123481102e-99	"9"	"Myl1"
4.43120889388237e-94	3.49247132927931	1	0.361	7.71384844247043e-90	"9"	"Acta1"
8.35068218285304e-84	3.5017269195986	1	0.46	1.45368675439106e-79	"9"	"Mylpf"
2.18439513780394e-58	2.90889066212567	0.675	0.135	3.80259505588909e-54	"10"	"Trf"
2.36542904289763e-53	3.10997197993775	1	0.827	4.11773887787619e-49	"10"	"Apod"
6.38906107280242e-50	1.86733717270258	1	0.88	1.11220775155344e-45	"10"	"Smoc2"
3.95046280348763e-42	1.94298085679381	0.975	0.705	6.87696564831127e-38	"10"	"Cxcl14"
